"Product Blocks","Product Blocks"
"Product Selection Rules","Product Selection Rules"
"Related Products","Related Products"
"Product Rules","Product Rules"
"The block has been deleted.","The block has been deleted."
"This block no longer exists.","This block no longer exists."
"You have duplicated the block.","You have duplicated the block."
"New Block","New Block"
"You have saved the block.","You have saved the block."
"The Rule has been deleted.","The Rule has been deleted."
"This Rule no longer exists.","This Rule no longer exists."
"This rule no longer exists.","This rule no longer exists."
"You have duplicated the rule.","You have duplicated the rule."
"New Rule","New Rule"
"You saved the rule.","You saved the rule."
"Conditions Combination","Conditions Combination"
"Current Product ""%1""","Current Product ""%1"""
"Exact value","Exact value"
Back,Back
"Delete Block","Delete Block"
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
"Save Rule","Save Rule"
Edit,Edit
Duplicate,Duplicate
Delete,Delete
"Product Page","Product Page"
"Category Page","Category Page"
"Shopping Cart Page","Shopping Cart Page"
"Customer Account Pages","Customer Account Pages"
"Place block manually","Place block manually"
Default,Default
Conditions,Conditions
"Delete Rule","Delete Rule"
"Whole Catalog","Whole Catalog"
"Bought Together (the same Order)","Bought Together (the same Order)"
"Also Bought (the same Customer)","Also Bought (the same Customer)"
"Viewed Together","Viewed Together"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Related Products Index","Related Products Index"
"Related products index","Related products index"
"General Information","General Information"
Active,Active
"Internal Name","Internal Name"
Priority,Priority
"Store View","Store View"
"Use predefined position","Use predefined position"
Position,Position
"Block Layout XML","Block Layout XML"
"Use this code to insert block in custom position.","Use this code to insert block in custom position."
"Remove Native Related Products Block","Remove Native Related Products Block"
"Remove Native Cross Sells Products Block","Remove Native Cross Sells Products Block"
"Remove Native Upsells Products Block","Remove Native Upsells Products Block"
"Product Selection Rule","Product Selection Rule"
"Block Title","Block Title"
"Number of products","Number of products"
Template,Template
"Add New Block","Add New Block"
ID,ID
Name,Name
Status,Status
"Products Rule","Products Rule"
Analytics,Analytics
"Primary Source","Primary Source"
"Add New Rule","Add New Rule"
Source,Source
